phase,c,o,cerr,oerr,oerr
0.000000,18.8375,18.8375,0.218903518,0.218903518,0.218903518
3.9769521,17.625,17.625,0.018027756,0.018027756,0.018027756
7.98057445,16.9275,16.9275,0.050682837,0.050682837,0.050682837
15.97493765,16.9575,16.9575,0.038971143,0.038971143,0.038971143
19.94138605,17.315,17.315,0.074330344,0.074330344,0.074330344
23.92909135,17.71125,17.71125,0.114612118,0.114612118,0.114612118
27.93048165,17.6875,17.6875,0.040233692,0.040233692,0.040233692
35.9042296,17.7375,17.7375,0.088705975,0.088705975,0.088705975
41.94580945,18.2625,18.2625,0.132547161,0.132547161,0.132547161
45.8701958,18.3775,18.3775,0.039607449,0.039607449,0.039607449
47.87523965,18.65,18.65,0.126885775,0.126885775,0.126885775
49.86893025,19.2075,19.2075,0.054025457,0.054025457,0.054025457
53.8789159,18.9875,18.9875,0.032691742,0.032691742,0.032691742